Column1,Column2,Column3,Column4,Column5,Column6
N_sample,X,Y,Z,ID,label
3,-16,347,847,2,tick
4,71,350,929,2,tick
5,288,267,195,2,tick
6,377,-245,974,2,tick
7,-421,-367,1205,2,tick
8,140,-543,1501,2,tick
9,80,-206,963,2,tick
10,-211,102,196,2,tick
11,-207,297,626,2,tick
12,-326,299,892,2,tick
13,-345,297,771,2,tick
14,-343,325,860,2,tick
15,-226,338,893,2,tick
16,-309,306,828,2,tick
17,-261,321,936,2,tick
18,-292,312,852,2,tick
19,-244,315,896,2,tick
20,-256,327,863,2,tick
21,-279,306,887,2,tick
22,-228,326,879,2,tick
23,-264,316,894,2,tick
24,-250,316,841,2,tick
25,-247,316,891,2,tick
1,-40,555,858,3,tick
2,-40,534,787,3,tick
3,-90,530,745,3,tick
4,-51,538,718,3,tick
5,3,509,693,3,tick
6,-41,102,1437,3,tick
7,110,-89,894,3,tick
8,-19,-137,1196,3,tick
9,-31,-253,1080,3,tick
10,-9,-317,1025,3,tick
11,-31,-300,1410,3,tick
12,164,-235,1058,3,tick
13,-38,-107,932,3,tick
14,-214,202,576,3,tick
15,-286,281,736,3,tick
16,-388,322,1025,3,tick
17,-332,419,783,3,tick
18,-468,452,698,3,tick
19,-445,424,914,3,tick
20,-378,443,683,3,tick
21,-459,440,796,3,tick
22,-398,459,778,3,tick
23,-402,478,670,3,tick
24,-461,473,713,3,tick
25,-440,493,716,3,tick
1,-14,580,741,4,tick
2,-41,567,841,4,tick
3,-114,584,808,4,tick
4,-75,598,752,4,tick
5,-60,605,767,4,tick
6,-89,565,587,4,tick
7,22,360,192,4,tick
8,330,83,937,4,tick
9,-119,-302,979,4,tick
10,-124,-359,1379,4,tick
11,-82,-286,811,4,tick
12,36,-263,1258,4,tick
13,-287,-313,939,4,tick
14,-573,40,496,4,tick
15,-407,199,640,4,tick
16,-447,330,832,4,tick
17,-382,417,569,4,tick
18,-510,427,615,4,tick
19,-486,449,757,4,tick
20,-434,448,700,4,tick
21,-456,467,719,4,tick
22,-481,445,754,4,tick
23,-453,461,670,4,tick
24,-459,441,748,4,tick
25,-447,461,685,4,tick
1,81,629,754,5,tick
2,37,629,742,5,tick
3,-2,640,760,5,tick
4,70,648,740,5,tick
5,27,648,591,5,tick
6,366,1,525,5,tick
7,154,-83,1028,5,tick
8,285,-164,1954,5,tick
9,109,-245,1016,5,tick
10,224,-149,1358,5,tick
11,-330,-53,386,5,tick
12,-352,294,372,5,tick
13,-465,411,654,5,tick
14,-467,479,689,5,tick
15,-435,493,715,5,tick
16,-448,460,664,5,tick
17,-467,477,731,5,tick
18,-391,469,664,5,tick
19,-441,473,764,5,tick
20,-409,482,741,5,tick
21,-434,480,724,5,tick
22,-434,492,703,5,tick
23,-395,474,704,5,tick
24,-410,471,706,5,tick
25,-426,470,718,5,tick
1,10,803,574,6,tick
2,-1,802,567,6,tick
3,18,792,580,6,tick
4,-1,796,552,6,tick
5,6,751,407,6,tick
6,162,569,-344,6,tick
7,140,20,776,6,tick
8,-78,-274,1381,6,tick
9,210,-138,1570,6,tick
10,280,-48,1355,6,tick
11,20,-170,603,6,tick
12,-505,470,378,6,tick
13,-474,590,619,6,tick
14,-482,599,731,6,tick
15,-424,545,549,6,tick
16,-395,573,642,6,tick
17,-461,561,591,6,tick
18,-523,559,695,6,tick
19,-456,554,610,6,tick
20,-458,546,574,6,tick
21,-480,568,645,6,tick
22,-473,550,665,6,tick
23,-453,551,635,6,tick
24,-478,552,610,6,tick
25,-481,574,637,6,tick
1,81,788,617,7,tick
2,90,709,379,7,tick
3,303,323,133,7,tick
4,133,185,943,7,tick
5,97,-162,1765,7,tick
6,65,-227,1086,7,tick
7,126,-250,1115,7,tick
8,203,-238,1377,7,tick
9,304,-9,1007,7,tick
10,3,118,923,7,tick
11,-76,159,863,7,tick
12,-105,232,782,7,tick
13,-206,244,828,7,tick
14,-147,340,856,7,tick
15,-137,329,941,7,tick
16,-184,299,874,7,tick
17,-209,309,952,7,tick
18,-131,304,885,7,tick
19,-117,325,926,7,tick
20,-164,299,875,7,tick
21,-159,305,888,7,tick
22,-135,325,899,7,tick
23,-172,304,905,7,tick
24,-160,324,910,7,tick
25,-185,302,910,7,tick
1,-59,548,843,8,tick
2,64,585,751,8,tick
